coretemp-isa-0000
Adapter: ISA adapter
Package id 0:  +88.0°C  (high = +100.0°C, crit = +100.0°C)
Core 0:        +87.0°C  (high = +100.0°C, crit = +100.0°C)
Core 1:        +76.0°C  (high = +100.0°C, crit = +100.0°C)
Core 2:        +88.0°C  (high = +100.0°C, crit = +100.0°C)
Core 3:        +88.0°C  (high = +100.0°C, crit = +100.0°C)

pch_cannonlake-virtual-0
Adapter: Virtual device
temp1:        +60.0°C  

BAT0-acpi-0
Adapter: ACPI interface
in0:          12.59 V  
curr1:            N/A  

dell_smm-virtual-0
Adapter: Virtual device
fan1:        3191 RPM

radeon-pci-0100
Adapter: PCI adapter
temp1:            N/A  (crit = +120.0°C, hyst = +90.0°C)

acpitz-acpi-0
Adapter: ACPI interface
temp1:        +25.0°C  (crit = +107.0°C)

%MEM   RSS  SIZE    VSZ
 0.7 60872 102792 113792
 0.9 79408 102792 113792
 0.9 79408 102792 113792
 0.9 79408 102792 113792
 1.0 80464 102792 113792
 1.0 81520 102792 113792
 1.0 82048 102792 113792
 1.0 83368 102792 113792
 1.0 83368 102792 113792
 1.0 83368 102792 113792
 1.0 83368 102792 113792
 1.0 83368 102792 113792
 1.0 83368 102792 113792
 1.0 84160 102792 113792
 1.0 85216 102792 113792
 1.0 86008 102792 113792
 1.0 87064 102792 113792
 1.0 87856 102792 113792
 1.1 88384 102792 113792
 1.1 88912 102792 113792
 1.1 90760 102792 113792
 1.1 90760 102792 113792
 1.1 90760 102792 113792
 1.1 90760 102792 113792
 1.1 90760 102792 113792
 1.1 90760 102792 113792
 1.1 90760 102792 113792
 1.1 90760 102792 113792
 1.1 90760 102792 113792
 1.1 90760 102792 113792
 1.1 90760 102792 113792
 1.1 90760 102792 113792
 1.1 90760 102792 113792
 1.1 91024 102792 113792
 1.1 91552 102792 113792
 1.1 92608 102792 113792
 1.1 92608 102792 113792
 1.1 93664 102792 113792
 1.1 94456 102792 113792
 1.1 94456 102792 113792
 1.1 94456 102792 113792
 1.1 95512 102792 113792
 1.2 96568 102792 113792
 1.2 97096 102792 113792
 1.2 98152 102792 113792
 1.2 98152 102792 113792
 1.2 98152 102792 113792
 1.2 98152 102792 113792
 1.2 98152 102792 113792
 1.2 98416 102792 113792
 1.2 99472 102792 113792
 1.2 100528 102792 113792
 1.2 101056 102792 113792
 1.2 102376 102792 113792
 1.2 102904 102792 113792
 1.3 103960 102792 113792
 1.3 103960 102792 113792
